Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair
2022-01-26 10:15:00,2022-01-26 09:30:00,BUY,1.1288,1.1280000000000001,1.1314,-1,EURUSD
2022-07-05 07:15:00,2022-07-04 14:00:00,SELL,0.9607,0.9618,0.9575,-1,USDCHF
2022-02-08 10:15:00,2022-02-08 08:45:00,SELL,1.1402,1.1412,1.1371,-1,EURUSD
2022-07-05 07:15:00,2022-07-04 15:00:00,SELL,0.9611,0.962,0.9585,-1,USDCHF
2022-07-27 04:30:00,2022-07-25 09:45:00,BUY,0.963,0.9615,0.9674,-1,USDCHF
2022-02-09 10:00:00,2022-02-09 09:45:00,SELL,1.1425,1.1431,1.1406,-1,EURUSD
2022-07-27 18:45:00,2022-07-27 13:15:00,BUY,0.9615,0.9600000000000001,0.9661,-1,USDCHF
2022-02-10 13:30:00,2022-02-09 13:45:00,SELL,1.1435,1.1449,1.1392,3,EURUSD
2022-02-11 08:45:00,2022-02-11 08:15:00,SELL,1.1387,1.1397,1.1357,-1,EURUSD
2022-07-27 18:45:00,2022-07-27 13:15:00,BUY,0.9615,0.9600000000000001,0.9661,-1,USDCHF
2022-08-18 11:30:00,2022-08-18 09:30:00,SELL,0.9539,0.9547,0.9515,3,USDCHF
2022-02-11 12:00:00,2022-02-11 08:45:00,SELL,1.1386,1.1401,1.1341,-1,EURUSD
2022-08-18 14:00:00,2022-08-17 13:30:00,SELL,0.9521,0.9546,0.9446,-1,USDCHF
2022-02-18 11:15:00,2022-02-18 08:30:00,SELL,1.137,1.1377,1.135,3,EURUSD
2022-02-23 09:45:00,2022-02-23 09:00:00,SELL,1.1345,1.1352,1.1324,-1,EURUSD
2022-08-18 14:00:00,2022-08-17 15:00:00,SELL,0.9529,0.9546,0.9477,-1,USDCHF
2022-09-05 21:00:00,2022-09-05 08:30:00,SELL,0.9827,0.984,0.9788,3,USDCHF
2022-02-23 15:15:00,2022-02-23 13:45:00,SELL,1.1347,1.1355,1.1323,3,EURUSD
2022-09-20 12:15:00,2022-09-20 09:15:00,SELL,0.9658,0.9671,0.9621,-1,USDCHF
2022-02-25 10:30:00,2022-02-25 09:30:00,BUY,1.1178,1.1167,1.1211,-1,EURUSD
2022-09-20 12:45:00,2022-09-19 14:00:00,SELL,0.9664,0.9681,0.9615,-1,USDCHF
2022-03-01 10:00:00,2022-02-28 13:15:00,BUY,1.1199,1.1176,1.1268,-1,EURUSD
2022-09-20 12:45:00,2022-09-19 13:15:00,SELL,0.9658,0.968,0.9592,-1,USDCHF
2022-03-11 11:15:00,2022-03-11 09:30:00,BUY,1.0977,1.0957000000000001,1.1037,3,EURUSD
2022-03-14 16:30:00,2022-03-14 13:45:00,BUY,1.0947,1.0932,1.0992,3,EURUSD
2022-10-19 09:15:00,2022-10-19 08:15:00,SELL,0.9992,1.0002,0.9961,-1,USDCHF
2022-10-25 13:15:00,2022-10-25 08:45:00,SELL,1.0023,1.0031999999999999,0.9997,3,USDCHF
2022-03-21 17:15:00,2022-03-21 14:00:00,BUY,1.1046,1.1026,1.1104,-1,EURUSD
2022-10-25 13:15:00,2022-10-25 09:45:00,SELL,1.0024,1.0032999999999999,0.9995,3,USDCHF
2022-03-24 13:45:00,2022-03-24 13:30:00,BUY,1.0982,1.0971,1.1015,-1,EURUSD
2022-11-08 09:15:00,2022-11-08 08:30:00,BUY,0.9909,0.9891,0.9963,-1,USDCHF
2022-04-05 10:30:00,2022-04-05 08:45:00,BUY,1.0969,1.0959,1.0998,-1,EURUSD
2022-11-08 09:45:00,2022-11-08 09:15:00,BUY,0.99,0.9888,0.9936,-1,USDCHF
2022-04-07 16:00:00,2022-04-07 14:00:00,BUY,1.0915,1.0895000000000001,1.0973,-1,EURUSD
2022-04-13 12:15:00,2022-04-13 09:15:00,BUY,1.0833,1.0822,1.0866,-1,EURUSD
2022-12-19 15:45:00,2022-12-19 14:15:00,SELL,0.932,0.9329999999999999,0.9289,-1,USDCHF
2022-05-10 14:30:00,2022-05-10 10:00:00,BUY,1.0544,1.0532000000000001,1.0578,-1,EURUSD
2022-12-26 15:30:00,2022-12-26 15:00:00,SELL,0.931,0.9327,0.9258,-1,USDCHF
2022-05-18 13:30:00,2022-05-18 13:00:00,SELL,1.0521,1.053,1.0494,-1,EURUSD
2023-01-11 12:00:00,2023-01-10 09:15:00,BUY,0.9207,0.9191,0.9257,3,USDCHF
2023-01-11 15:45:00,2023-01-11 14:15:00,SELL,0.9284,0.9301999999999999,0.9231,-1,USDCHF
2022-05-18 13:45:00,2022-05-18 13:30:00,SELL,1.0518,1.0534,1.047,-1,EURUSD
2023-01-20 13:30:00,2023-01-20 09:30:00,SELL,0.9197,0.9218,0.9134,-1,USDCHF
2022-05-19 10:30:00,2022-05-19 08:45:00,SELL,1.0496,1.0512,1.0448,-1,EURUSD
2022-05-25 14:15:00,2022-05-25 09:45:00,SELL,1.0669,1.0682,1.063,-1,EURUSD
2023-01-23 01:15:00,2023-01-20 14:15:00,SELL,0.9222,0.9237,0.9177,3,USDCHF
2023-01-25 14:45:00,2023-01-25 09:00:00,SELL,0.9236,0.9248,0.9199,3,USDCHF
2022-05-25 14:15:00,2022-05-25 13:30:00,SELL,1.0661,1.0675,1.062,-1,EURUSD
2022-05-26 15:15:00,2022-05-26 14:15:00,SELL,1.0713,1.0725,1.0679,-1,EURUSD
2023-01-27 13:00:00,2023-01-27 08:15:00,SELL,0.9215,0.9230999999999999,0.9169,-1,USDCHF
2022-05-30 02:15:00,2022-05-27 15:00:00,BUY,1.0712,1.0698,1.0753,3,EURUSD
2023-02-13 12:15:00,2023-02-13 08:45:00,SELL,0.9243,0.9252,0.9215,3,USDCHF
