Date,Time,Currency,Name,,,,,
2020-02-11 00:00:00,14:00,EUR,ECB President Lagarde Speaks,,,,,115931
2020-02-11 00:00:00,15:00,USD,Fed Chair Powell Testifies,,,,,115924
2020-02-11 00:00:00,15:35,GBP,BOE Gov Carney Speaks,,,,,115932
2020-02-12 00:00:00,01:00,NZD,Official Cash Rate,1.00%,1.00%,1.00%,,113405
2020-02-12 00:00:00,01:00,NZD,RBNZ Monetary Policy Statement,,,,,113419
2020-02-12 00:00:00,01:00,NZD,RBNZ Rate Statement,,,,,113412
2020-02-12 00:00:00,02:00,NZD,RBNZ Press Conference,,,,,113455
2020-02-12 00:00:00,14:30,USD,Fed Chair Powell Testifies,,,,,115925
2020-02-12 00:00:00,19:10,NZD,RBNZ Gov Orr Speaks,,,,,115921
2020-02-13 00:00:00,00:00,AUD,RBA Gov Lowe Speaks,,,,,115920
2020-02-13 00:00:00,00:00,CAD,BOC Gov Poloz Speaks,,,,,115934
2020-02-13 00:00:00,13:30,USD,Core CPI m/m,0.2%,0.2%,0.1%,,114134
2020-02-13 00:00:00,13:30,USD,CPI m/m,0.1%,0.2%,0.2%,,114135
2020-02-13 00:00:00,13:30,USD,CPI y/y,2.5%,2.4%,2.3%,,128627
2020-02-14 00:00:00,07:00,EUR,German Prelim GDP q/q,0.0%,0.1%,0.1%,,112973
2020-02-14 00:00:00,13:30,USD,Core Retail Sales m/m,0.3%,0.3%,0.6%,0.7%,114245
2020-02-14 00:00:00,13:30,USD,Retail Sales m/m,0.3%,0.3%,0.2%,0.3%,114244
2020-02-18 00:00:00,00:30,AUD,Monetary Policy Meeting Minutes,,,,,114532
2020-02-18 00:00:00,10:00,EUR,German ZEW Economic Sentiment,8.7,20.0,26.7,,112886
2020-02-19 00:00:00,00:30,AUD,Wage Price Index q/q,0.5%,0.5%,0.5%,,114759
2020-02-19 00:00:00,09:30,GBP,CPI y/y,1.8%,1.6%,1.3%,,112296
2020-02-19 00:00:00,13:30,CAD,CPI m/m,0.3%,0.2%,0.0%,,114407
2020-02-19 00:00:00,19:00,USD,FOMC Meeting Minutes,,,,,111366
2020-02-20 00:00:00,00:30,AUD,Employment Change,13.5K,10.0K,28.7K,28.9K,114585
2020-02-20 00:00:00,00:30,AUD,Unemployment Rate,5.3%,5.2%,5.1%,,114597
2020-02-20 00:00:00,09:30,GBP,Retail Sales m/m,0.9%,0.7%,-0.5%,-0.6%,112471
2020-02-20 00:00:00,12:30,EUR,ECB Monetary Policy Meeting Accounts,,,,,112838
2020-02-20 00:00:00,23:00,NZD,RBNZ Gov Orr Speaks,,,,,115957
2020-02-21 00:00:00,08:15,EUR,French Flash Services PMI,52.6,51.4,51.0,51.7,111593
2020-02-21 00:00:00,08:30,EUR,German Flash Manufacturing PMI,47.8,44.8,45.3,45.2,111594
2020-02-21 00:00:00,08:30,EUR,German Flash Services PMI,53.3,53.9,54.2,,111595
2020-02-21 00:00:00,09:30,GBP,Flash Manufacturing PMI,51.9,49.7,50.0,49.8,113431
2020-02-21 00:00:00,09:30,GBP,Flash Services PMI,53.3,53.4,53.9,52.9,113437
2020-02-21 00:00:00,13:30,CAD,Core Retail Sales m/m,0.5%,0.4%,0.5%,0.2%,113716
2020-02-21 00:00:00,14:45,USD,Flash Manufacturing PMI,50.8,51.5,51.9,51.7,111597
2020-02-23 00:00:00,21:45,NZD,Retail Sales q/q,0.7%,0.8%,1.7%,1.6%,113471
2020-02-24 00:00:00,09:00,EUR,German ifo Business Climate,96.1,95.0,96.0,95.9,112912
2020-02-25 00:00:00,15:00,USD,CB Consumer Confidence,130.7,132.6,130.4,131.6,113932
2020-02-26 00:00:00,13:30,EUR,ECB President Lagarde Speaks,,,,,115969
2020-02-27 00:00:00,00:00,NZD,ANZ Business Confidence,-19.4,,-13.2,,113393
