"2023.01.10","10:02","GBP","L","10-y Bond Auction","3.70|2.8","","3.33|2.2","","133785"
"2023.01.10","10:10","CAD","H","BOC Gov Macklem Speaks","","","","","133786"
"2023.01.10","10:10","JPY","M","BOJ Gov Kuroda Speaks","","","","","133787"
"2023.01.10","10:59","USD","L","NFIB Small Business Index","89.8","91.6","91.9","","130488"
"2023.01.10","14:00","USD","H","Fed Chair Powell Speaks","","","","","133784"
"2023.01.10","15:00","USD","L","Final Wholesale Inventories m/m","1.0%","1.0%","1.0%","","129911"
"2023.01.10","15:00","USD","L","IBD/TIPP Economic Optimism","42.3","41.7","42.9","","133625"
"2023.01.11","00:00","NZD","L","ANZ Commodity Prices m/m","-0.1%","","-4.0%","-3.9%","131206"
"2023.01.11","00:30","AUD","H","CPI y/y","7.3%","7.2%","6.9%","","131769"
"2023.01.11","00:30","AUD","L","Retail Sales m/m","1.4%","0.6%","0.3%","-0.2%","134303"
"2023.01.11","03:35","JPY","L","30-y Bond Auction","1.65|3.1","","1.48|3.0","","128781"
"2023.01.11","05:00","JPY","L","Leading Indicators","97.6%","97.5%","98.6%","99.0%","128942"
"2023.01.11","08:57","EUR","L","Italian Retail Sales m/m","0.8%","-0.3%","-0.3%","-0.4%","129288"
"2023.01.11","10:33","EUR","L","German 10-y Bond Auction","2.25|1.4","","1.95|2.0","","133768"
"2023.01.11","15:30","USD","L","Crude Oil Inventories","19.0M","-2.0M","1.7M","","129392"
"2023.01.11","18:01","USD","M","10-y Bond Auction","3.58|2.5","","3.63|2.3","","131860"
"2023.01.11","21:45","NZD","L","Building Consents m/m","7.0%","","-10.7%","","130959"
"2023.01.11","23:50","JPY","L","Bank Lending y/y","2.7%","2.8%","2.7%","","128905"
"2023.01.11","23:50","JPY","L","Current Account","1.92T","0.65T","-0.61T","","128917"
"2023.01.12","00:30","AUD","L","Trade Balance","13.20B","11.35B","12.74B","12.22B","131102"
"2023.01.12","01:30","CNY","L","CPI y/y","1.8%","1.8%","1.6%","","131541"
"2023.01.12","01:30","CNY","L","PPI y/y","-0.7%","-0.1%","-1.3%","","131542"
"2023.01.12","05:00","JPY","L","Economy Watchers Sentiment","47.9","47.8","48.1","","128220"
"2023.01.12","09:00","EUR","L","ECB Economic Bulletin","","","","","125322"
"2023.01.12","12:30","USD","L","FOMC Member Harker Speaks","","","","","133789"
"2023.01.12","13:30","USD","H","Core CPI m/m","0.3%","0.3%","0.2%","","129674"
"2023.01.12","13:30","USD","H","CPI m/m","-0.1%","-0.1%","0.1%","","129662"
"2023.01.12","13:30","USD","H","CPI y/y","6.5%","6.5%","7.1%","","129686"
"2023.01.12","13:30","USD","M","Unemployment Claims","205K","216K","206K","204K","130201"
"2023.01.12","15:30","USD","L","Natural Gas Storage","11B","-15B","-221B","","128429"
"2023.01.12","17:00","GBP","L","MPC Member Mann Speaks","","","","","133791"
"2023.01.12","18:01","USD","L","30-y Bond Auction","3.59|2.5","","3.51|2.2","","131863"
"2023.01.12","19:00","USD","L","Federal Budget Balance","-85.0B","-59.5B","-248.5B","","130508"
"2023.01.12","23:50","JPY","L","M2 Money Stock y/y","2.9%","3.2%","3.1%","","128172"
"2023.01.13","03:18","CNY","L","USD-Denominated Trade Balance","78.0B","77.9B","69.8B","","131493"
"2023.01.13","03:22","CNY","L","Trade Balance","550B","533B","494B","","131492"
"2023.01.13","07:00","GBP","H","GDP m/m","0.1%","-0.2%","0.5%","","133490"
"2023.01.13","07:00","GBP","L","Construction Output m/m","0.0%","-0.3%","0.4%","0.8%","133492"
"2023.01.13","07:00","GBP","L","Goods Trade Balance","-15.6B","-14.9B","-12.3B","-14.5B","133491"
"2023.01.13","07:00","GBP","L","Index of Services 3m/3m","-0.1%","-0.3%","-0.1%","","133495"
"2023.01.13","07:00","GBP","L","Industrial Production m/m","-0.2%","-0.2%","-0.1%","0.0%","133493"
"2023.01.13","07:00","GBP","L","Manufacturing Production m/m","-0.5%","-0.2%","0.7%","","133494"
"2023.01.13","07:45","EUR","L","French Final CPI m/m","-0.1%","-0.1%","-0.1%","","131927"
"2023.01.13","09:00","EUR","L","Italian Industrial Production m/m","-0.3%","0.4%","-1.1%","-1.0%","129261"
"2023.01.13","10:00","EUR","L","Industrial Production m/m","1.0%","0.6%","-1.9%","-2.0%","132691"
"2023.01.13","10:00","EUR","L","Trade Balance","-15.2B","-21.1B","-28.1B","-28.3B","132726"
"2023.01.13","12:01","GBP","L","NIESR GDP Estimate","0.1%","","-0.3%","","133332"
"2023.01.13","13:30","USD","L","Import Prices m/m","0.4%","-0.9%","-0.7%","-0.6%","129646"
"2023.01.13","15:00","USD","H","Prelim UoM Consumer Sentiment","64.6","60.8","59.7","59.1","130403"
"2023.01.13","15:00","USD","M","Prelim UoM Inflation Expectations","4.0%","","4.4%","4.6%","130404"
"2023.01.15","23:50","JPY","L","PPI y/y","10.2%","9.5%","9.7%","9.3%","128881"
"2023.01.16","00:01","GBP","L","Rightmove HPI m/m","0.9%","","-2.1%","","133284"
"2023.01.16","00:02","AUD","L","MI Inflation Gauge m/m","0.2%","","1.0%","","130631"
"2023.01.16","06:00","JPY","L","Prelim Machine Tool Orders y/y","1.0%","","-7.7%","-7.8%","129026"
"2023.01.16","07:00","EUR","L","German WPI m/m","-1.6%","-0.3%","-0.9%","","131744"
"2023.01.16","09:15","All","M","WEF Annual Meetings","","","","","132402"
"2023.01.16","10:05","EUR","L","French Gov Budget Balance","-159.3B","","-143.2B","","131897"
"2023.01.16","10:15","EUR","L","Eurogroup Meetings","","","","","132193"
"2023.01.16","13:00","USD","N","Bank Holiday","","","","","129994"
"2023.01.16","13:30","CAD","L","Manufacturing Sales m/m","0.0%","0.4%","2.4%","2.8%","132573"
"2023.01.16","15:00","GBP","H","BOE Gov Bailey Speaks","","","","","133817"
"2023.01.16","15:30","CAD","M","BOC Business Outlook Survey","","","","","132299"
"2023.01.16","21:00","NZD","L","NZIER Business Confidence","-70","","-42","","130656"
"2023.01.16","23:20","AUD","L","Westpac Consumer Sentiment","5.0%","","3.0%","","130382"
"2023.01.17","02:00","CNY","H","GDP q/y","2.9%","1.6%","3.9%","","131596"
"2023.01.17","02:00","CNY","L","Fixed Asset Investment ytd/y","5.1%","5.0%","5.3%","","131597"
"2023.01.17","02:00","CNY","L","Industrial Production y/y","1.3%","0.2%","2.2%","","131598"
"2023.01.17","02:00","CNY","L","NBS Press Conference","","","","","131601"
"2023.01.17","02:00","CNY","L","Retail Sales y/y","-1.8%","-9.5%","-5.9%","","131599"
"2023.01.17","02:00","CNY","L","Unemployment Rate","5.5%","5.8%","5.7%","","131600"
"2023.01.17","04:30","JPY","L","Tertiary Industry Activity m/m","-0.2%","0.2%","0.5%","0.2%","129002"
"2023.01.17","07:00","EUR","L","German Final CPI m/m","-0.8%","-0.8%","-0.8%","","132106"
"2023.01.17","07:00","GBP","H","Claimant Count Change","19.7K","19.8K","16.1K","30.5K","133455"
"2023.01.17","07:00","GBP","M","Average Earnings Index 3m/y","6.4%","6.2%","6.2%","6.1%","133454"
"2023.01.17","07:00","GBP","L","Unemployment Rate","3.7%","3.7%","3.7%","","133456"
"2023.01.17","09:15","All","M","WEF Annual Meetings","","","","","132403"
"2023.01.17","10:00","EUR","M","German ZEW Economic Sentiment","16.9","-15.0","-23.3","","132080"
"2023.01.17","10:00","EUR","L","ZEW Economic Sentiment","16.7","-14.3","-23.6","","132078"
"2023.01.17","10:15","EUR","L","ECOFIN Meetings","","","","","132205"
"2023.01.17","13:13","CAD","L","Housing Starts","249K","257K","263K","264K","132854"
"2023.01.17","13:30","CAD","H","CPI m/m","-0.6%","-0.6%","0.1%","","132303"
"2023.01.17","13:30","CAD","H","Median CPI y/y","5.0%","4.9%","5.1%","5.0%","132307"
"2023.01.17","13:30","CAD","H","Trimmed CPI y/y","5.3%","5.2%","5.4%","5.3%","132306"
"2023.01.17","13:30","CAD","L","Foreign Securities Purchases","12.76B","2.73B","9.09B","8.46B","132541"
"2023.01.17","13:30","USD","H","Empire State Manufacturing Index","-32.9","-8.7","-11.2","","130040"
"2023.01.17","13:32","CAD","M","Common CPI y/y","6.6%","6.6%","6.8%","6.7%","132305"
"2023.01.17","13:32","CAD","L","Core CPI m/m","-0.3%","","0.0%","","132304"
"2023.01.17","14:39","NZD","L","GDT Price Index","-0.1%","","-2.8%","","128733"
"2023.01.17","20:00","USD","L","FOMC Member Williams Speaks","","","","","133804"
"2023.01.17","23:50","JPY","L","Core Machinery Orders m/m","-8.3%","-1.3%","5.4%","","128933"
"2023.01.18","02:04","CNY","L","Foreign Direct Investment ytd/y","6.3%","","9.9%","","131565"
"2023.01.18","02:40","JPY","H","BOJ Outlook Report","","","","","128142"
"2023.01.18","02:40","JPY","H","Monetary Policy Statement","","","","","128141"
"2023.01.18","02:40","JPY","L","BOJ Policy Rate","-0.10%","-0.10%","-0.10%","","128139"
"2023.01.18","04:30","JPY","L","Revised Industrial Production m/m","0.2%","-0.1%","-0.1%","","128990"
"2023.01.18","06:30","JPY","H","BOJ Press Conference","","","","","128140"
"2023.01.18","07:00","GBP","H","CPI y/y","10.5%","10.5%","10.7%","","133383"
"2023.01.18","07:00","GBP","L","Core CPI y/y","6.3%","6.2%","6.3%","","133382"
"2023.01.18","07:00","GBP","L","RPI y/y","13.4%","13.6%","14.0%","","133384"
"2023.01.18","09:00","EUR","L","Italian Trade Balance","1.45B","-1.80B","-2.06B","-2.12B","129300"
"2023.01.18","09:15","All","M","WEF Annual Meetings","","","","","132404"
"2023.01.18","09:30","GBP","L","Housing Equity Withdrawal q/q","-5.8B","-7.9B","-6.1B","-5.1B","128251"
"2023.01.18","09:30","GBP","L","HPI y/y","10.3%","10.4%","12.4%","12.6%","133387"
"2023.01.18","10:00","EUR","L","Final Core CPI y/y","5.2%","5.2%","5.2%","","132643"
"2023.01.18","10:00","EUR","L","Final CPI y/y","9.2%","9.2%","9.2%","","132644"
"2023.01.18","10:39","EUR","L","German 30-y Bond Auction","2.05|1.5","","1.94|1.8","","131683"
"2023.01.18","13:30","CAD","L","IPPI m/m","-1.1%","0.7%","-0.4%","","132598"
"2023.01.18","13:30","CAD","L","RMPI m/m","-3.1%","-0.9%","-0.8%","","132597"
"2023.01.18","13:30","USD","H","Core PPI m/m","0.1%","0.1%","0.2%","0.4%","129699"
"2023.01.18","13:30","USD","H","Core Retail Sales m/m","-1.1%","-0.5%","-0.6%","-0.2%","129851"
"2023.01.18","13:30","USD","H","PPI m/m","-0.5%","-0.1%","0.2%","0.3%","129698"
"2023.01.18","13:30","USD","H","Retail Sales m/m","-1.1%","-0.8%","-1.0%","-0.6%","129852"
"2023.01.18","14:15","USD","L","Capacity Utilization Rate","78.8%","79.6%","79.4%","79.7%","129598"
"2023.01.18","14:15","USD","L","Industrial Production m/m","-0.7%","-0.1%","-0.6%","-0.2%","129586"
"2023.01.18","14:30","GBP","L","CB Leading Index m/m","-0.6%","","-0.9%","-0.8%","133344"
"2023.01.18","15:00","USD","L","Business Inventories m/m","0.4%","0.4%","0.2%","0.3%","131270"
"2023.01.18","15:00","USD","L","NAHB Housing Market Index","35","31","31","","132254"
"2023.01.18","19:00","USD","L","Beige Book","","","","","130500"
"2023.01.18","20:15","USD","L","FOMC Member Harker Speaks","","","","","133812"
"2023.01.18","21:00","USD","L","TIC Long-Term Purchases","171.5B","127.9B","67.8B","","131297"
"2023.01.18","21:45","NZD","L","FPI m/m","1.1%","","0.0%","","130971"
"2023.01.18","22:00","USD","L","FOMC Member Logan Speaks","","","","","133811"
"2023.01.18","23:50","JPY","L","Trade Balance","-1.72T","-1.60T","-1.78T","-1.73T","129015"
"2023.01.19","00:00","AUD","L","MI Inflation Expectations","5.6%","","5.2%","","130370"
"2023.01.19","00:01","GBP","L","RICS House Price Balance","-42%","-30%","-26%","-25%","133296"
"2023.01.19","00:30","AUD","M","Employment Change","-14.6K","26.5K","58.3K","64.0K","131046"
"2023.01.19","00:30","AUD","M","Unemployment Rate","3.5%","3.4%","3.5%","3.4%","131047"
"2023.01.19","07:30","CHF","L","PPI m/m","-0.7%","-0.4%","-0.5%","","131403"
"2023.01.19","09:00","EUR","L","Current Account","13.6B","-11.6B","-0.5B","-0.4B","132629"
"2023.01.19","09:15","All","M","WEF Annual Meetings","","","","","132405"
"2023.01.19","09:30","GBP","L","BOE Credit Conditions Survey","","","","","129973"
"2023.01.19","10:30","EUR","M","ECB President Lagarde Speaks","","","","","133805"
"2023.01.19","12:30","EUR","L","ECB Monetary Policy Meeting Accounts","","","","","132474"
"2023.01.19","13:30","CAD","L","Wholesale Sales m/m","0.5%","2.0%","1.9%","2.1%","132375"
"2023.01.19","13:30","USD","M","Philly Fed Manufacturing Index","-8.9","-10.9","-13.8","","130103"
"2023.01.19","13:30","USD","M","Unemployment Claims","190K","214K","205K","","130202"
"2023.01.19","13:30","USD","L","Building Permits","1.33M","1.37M","1.35M","1.34M","129936"
"2023.01.19","13:30","USD","L","Housing Starts","1.38M","1.36M","1.40M","1.43M","129935"
"2023.01.19","15:30","AUD","L","CB Leading Index m/m","0.1%","","0.4%","","131090"
"2023.01.19","15:30","USD","L","Natural Gas Storage","-82B","-76B","11B","","128428"
"2023.01.19","16:00","USD","L","Crude Oil Inventories","8.4M","-2.1M","19.0M","","129393"
"2023.01.19","18:15","USD","M","FOMC Member Brainard Speaks","","","","","133818"
"2023.01.19","21:30","NZD","L","BusinessNZ Manufacturing Index","47.2","","47.2","47.4","131218"
"2023.01.19","21:45","NZD","L","Visitor Arrivals m/m","43.1%","","6.8%","","130931"
"2023.01.19","23:30","JPY","L","National Core CPI y/y","4.0%","4.0%","3.7%","","128844"
"2023.01.19","23:35","USD","L","FOMC Member Williams Speaks","","","","","133807"
"2023.01.20","00:01","GBP","L","GfK Consumer Confidence","-45","-41","-42","","133272"
"2023.01.20","01:15","CNY","M","1-y Loan Prime Rate","3.65%","3.65%","3.65%","","134398"
"2023.01.20","01:15","CNY","M","5-y Loan Prime Rate","4.30%","4.30%","4.30%","","134346"
"2023.01.20","07:00","EUR","L","German PPI m/m","-0.4%","-1.2%","-3.9%","","132107"
"2023.01.20","07:00","GBP","M","Retail Sales m/m","-1.0%","0.5%","-0.5%","-0.4%","133563"
"2023.01.20","08:00","CHF","M","SNB Chairman Jordan Speaks","","","","","133809"
"2023.01.20","09:15","All","M","WEF Annual Meetings","","","","","132406"
"2023.01.20","10:00","EUR","M","ECB President Lagarde Speaks","","","","","133808"
"2023.01.20","13:30","CAD","M","Core Retail Sales m/m","-0.6%","-0.6%","1.6%","1.7%","132829"
"2023.01.20","13:30","CAD","M","Retail Sales m/m","-0.1%","-0.5%","1.3%","1.4%","132830"
"2023.01.20","14:00","USD","L","FOMC Member Harker Speaks","","","","","133813"
"2023.01.20","15:00","USD","M","Existing Home Sales","4.02M","3.95M","4.08M","4.09M","131258"
"2023.01.20","18:00","USD","M","FOMC Member Waller Speaks","","","","","133806"
"2023.01.22","23:50","JPY","L","Monetary Policy Meeting Minutes","","","","","128123"
"2023.01.23","00:01","CNY","N","Bank Holiday","","","","","133697"
"2023.01.23","11:00","EUR","L","German Buba Monthly Report","","","","","131708"
"2023.01.23","13:30","CAD","L","NHPI m/m","0.0%","-0.2%","-0.2%","","132866"
"2023.01.23","15:00","EUR","L","Consumer Confidence","-21","-20","-22","","132169"
"2023.01.23","15:00","USD","L","CB Leading Index m/m","-1.0%","-0.7%","-1.1%","-1.0%","131426"
"2023.01.23","18:10","EUR","M","ECB President Lagarde Speaks","","","","","133825"
"2023.01.23","21:30","NZD","L","BusinessNZ Services Index","52.1","","53.8","53.7","131230"
"2023.01.23","22:00","AUD","L","Flash Manufacturing PMI","49.8","","50.2","50.4","131823"
"2023.01.23","22:00","AUD","L","Flash Services PMI","48.3","","47.3","46.9","131835"
"2023.01.24","00:01","CNY","N","Bank Holiday","","","","","133698"
"2023.01.24","00:30","AUD","L","NAB Business Confidence","-1","","-4","","131139"
"2023.01.24","00:30","JPY","L","Flash Manufacturing PMI","48.9","49.4","48.9","48.8","128821"
"2023.01.24","05:00","JPY","L","BOJ Core CPI y/y","3.1%","2.9%","2.9%","","128856"
"2023.01.24","07:00","CHF","L","Trade Balance","2.83B","3.23B","2.40B","2.31B","131355"
"2023.01.24","07:00","EUR","L","German GfK Consumer Climate","-33.9","-33.2","-37.6","-37.8","131719"
"2023.01.24","07:00","GBP","L","Public Sector Net Borrowing","26.6B","22.3B","18.8B","21.2B","133575"
"2023.01.24","08:15","EUR","M","French Flash Manufacturing PMI","50.8","49.6","49.2","48.9","131980"
"2023.01.24","08:15","EUR","M","French Flash Services PMI","49.2","49.7","49.5","48.1","131992"
"2023.01.24","08:30","EUR","M","German Flash Manufacturing PMI","47.0","48.0","47.1","47.4","132004"
"2023.01.24","08:30","EUR","M","German Flash Services PMI","50.4","49.6","49.2","49.0","132017"
"2023.01.24","09:00","EUR","L","Flash Manufacturing PMI","48.8","48.6","47.8","","132028"
"2023.01.24","09:00","EUR","L","Flash Services PMI","50.7","50.0","49.8","49.1","132062"
"2023.01.24","09:30","GBP","H","Flash Manufacturing PMI","46.7","45.4","45.3","44.7","132063"
"2023.01.24","09:30","GBP","H","Flash Services PMI","48.0","49.6","49.9","50.0","132064"
"2023.01.24","11:00","GBP","L","CBI Industrial Order Expectations","-17","-7","-6","","132907"
"2023.01.24","14:45","USD","H","Flash Services PMI","46.6","45.3","44.7","44.4","132241"
"2023.01.24","14:45","USD","M","Flash Manufacturing PMI","46.8","46.0","46.2","","132229"
"2023.01.24","14:59","USD","M","Richmond Manufacturing Index","-11","-5","1","","130091"
"2023.01.24","16:30","CHF","L","Gov Board Member Schlegel Speaks","","","","","133824"
"2023.01.24","21:45","NZD","H","CPI q/q","1.4%","1.3%","2.2%","","130983"
"2023.01.24","23:30","AUD","L","MI Leading Index m/m","-0.1%","","-0.2%","-0.1%","131155"
"2023.01.25","00:01","CNY","N","Bank Holiday","","","","","133699"
"2023.01.25","00:30","AUD","H","CPI q/q","1.9%","1.6%","1.8%","","131014"
"2023.01.25","00:30","AUD","H","CPI y/y","8.4%","7.6%","7.3%","","131770"
"2023.01.25","00:30","AUD","H","Trimmed Mean CPI q/q","1.7%","1.5%","1.9%","1.8%","131018"
"2023.01.25","02:00","NZD","L","Credit Card Spending y/y","12.4%","","16.2%","16.0%","131194"
