Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair
2021-06-08 13:45:00,2021-06-08 08:15:00,BUY,1.4138,1.4125,1.4176,-1,GBPUSD
2021-06-09 06:30:00,2021-06-08 13:45:00,BUY,1.4131,1.4118,1.4171,3,GBPUSD
2021-06-11 14:00:00,2021-06-11 13:45:00,BUY,1.4129,1.4118,1.4161,-1,GBPUSD
2021-07-14 10:30:00,2021-07-14 08:30:00,SELL,1.385,1.3865,1.3804,-1,GBPUSD
2021-07-14 10:30:00,2021-07-14 08:30:00,SELL,1.385,1.3865,1.3804,-1,GBPUSD
2021-07-27 11:45:00,2021-07-27 09:30:00,SELL,1.3784,1.3801999999999999,1.3731,-1,GBPUSD
2021-07-28 15:30:00,2021-07-28 14:45:00,SELL,1.3867,1.3882999999999999,1.382,-1,GBPUSD
2021-08-03 10:30:00,2021-08-03 08:30:00,SELL,1.3915,1.3928,1.3874,-1,GBPUSD
2021-08-03 10:45:00,2021-08-02 08:15:00,SELL,1.392,1.3935,1.3875,-1,GBPUSD
2021-08-04 13:00:00,2021-08-04 09:45:00,SELL,1.3934,1.3941999999999999,1.3909,-1,GBPUSD
2021-08-05 11:00:00,2021-08-05 09:15:00,SELL,1.3913,1.393,1.3862,-1,GBPUSD
2021-09-13 14:45:00,2021-09-13 13:15:00,SELL,1.3829,1.3848,1.3774,-1,GBPUSD
2021-10-11 19:45:00,2021-10-11 14:00:00,SELL,1.364,1.3654,1.36,3,GBPUSD
2021-10-13 10:00:00,2021-10-13 08:30:00,SELL,1.3632,1.3640999999999999,1.3604,-1,GBPUSD
2021-10-28 12:00:00,2021-10-28 09:30:00,BUY,1.3751,1.3736,1.3797,-1,GBPUSD
2021-12-03 11:00:00,2021-12-03 08:45:00,BUY,1.3277,1.3265,1.3314,-1,GBPUSD
2021-12-17 14:45:00,2021-12-17 09:30:00,SELL,1.3326,1.3342,1.3278,3,GBPUSD
2021-12-21 19:30:00,2021-12-21 14:15:00,SELL,1.3252,1.3264,1.3218,-1,GBPUSD
2022-01-13 14:45:00,2022-01-13 14:30:00,SELL,1.3737,1.3748,1.3705,-1,GBPUSD
2022-01-20 14:00:00,2022-01-20 08:00:00,SELL,1.3625,1.3639999999999999,1.3582,-1,GBPUSD
2022-01-20 14:45:00,2022-01-20 14:00:00,SELL,1.3633,1.3643,1.3601,-1,GBPUSD
2022-02-27 22:00:00,2022-02-25 14:45:00,BUY,1.3395,1.3363,1.3491,-1,GBPUSD
2022-02-28 14:30:00,2022-02-28 14:00:00,SELL,1.34,1.3417,1.3348,-1,GBPUSD
2022-03-15 15:45:00,2022-03-15 14:00:00,SELL,1.3069,1.3081,1.3033,-1,GBPUSD
2022-03-16 11:00:00,2022-03-16 08:45:00,SELL,1.3058,1.3073,1.3011,-1,GBPUSD
2022-03-24 08:45:00,2022-03-23 13:45:00,BUY,1.3187,1.3172,1.3233,-1,GBPUSD
2022-03-25 01:45:00,2022-03-24 14:15:00,BUY,1.3176,1.3164,1.3212,3,GBPUSD
2022-03-25 08:45:00,2022-03-24 13:45:00,BUY,1.3187,1.3164,1.3256,-1,GBPUSD
2022-03-25 14:30:00,2022-03-25 09:00:00,BUY,1.3171,1.3156,1.3216,3,GBPUSD
2022-06-03 12:30:00,2022-06-02 13:45:00,BUY,1.254,1.2522,1.2593,-1,GBPUSD
2022-08-08 12:00:00,2022-08-08 09:30:00,BUY,1.2082,1.207,1.2118,3,GBPUSD
2022-08-12 10:00:00,2022-08-12 09:15:00,BUY,1.2156,1.2138,1.221,-1,GBPUSD
2022-08-25 04:45:00,2022-08-24 13:30:00,BUY,1.1772,1.1752,1.1832,3,GBPUSD
2022-08-26 10:15:00,2022-08-26 09:30:00,SELL,1.1828,1.1839,1.1797,-1,GBPUSD
2022-08-26 13:00:00,2022-08-25 09:15:00,SELL,1.1836,1.1859,1.1769,-1,GBPUSD
2022-09-08 10:45:00,2022-09-08 08:30:00,BUY,1.1494,1.1475,1.1551,3,GBPUSD
2022-09-08 10:45:00,2022-09-08 09:30:00,BUY,1.149,1.1473,1.1542,3,GBPUSD
2022-09-15 10:30:00,2022-09-15 09:15:00,BUY,1.1508,1.1498,1.154,-1,GBPUSD
2022-09-23 02:15:00,2022-09-22 13:45:00,BUY,1.1263,1.1238000000000001,1.1337,-1,GBPUSD
2022-09-26 15:30:00,2022-09-26 14:45:00,BUY,1.0818,1.0766,1.0972,-1,GBPUSD
2022-09-28 10:00:00,2022-09-28 09:15:00,BUY,1.0678,1.0652,1.0755,-1,GBPUSD
2022-10-17 10:00:00,2022-10-17 09:15:00,SELL,1.1275,1.1296,1.121,-1,GBPUSD
