Sweep_DateTime,Buy/Sell,Limit,SL,TP,H4_High,H4_Low,Bias,Momentum,Liquidity_Level,Tag_DateTime,Close_DateTime,Return,Type,Currency Pair
24/02/2023 10:00,BUY,1.0588,1.058,1.061,1.06489,1.05807,1,1,1.05842,24/02/2023 10:15,24/02/2023 11:30,-1,FractalSweep,EURUSD
08/03/2023 10:00,BUY,1.054,1.0531,1.0568,1.06925,1.05303,-1,1,1.05346,08/03/2023 10:15,08/03/2023 15:00,-1,M15Sweep,EURUSD
09/03/2023 13:15,BUY,1.0561,1.0549,1.0596,1.06925,1.05303,-1,1,1.05532,09/03/2023 13:30,10/03/2023 0:15,3,M15Sweep,EURUSD
09/03/2023 8:30,BUY,1.0563,1.0545,1.0617,1.06925,1.05303,-1,1,1.05481,09/03/2023 9:15,10/03/2023 13:30,3,FractalSweep,EURUSD
06/04/2023 9:15,BUY,1.0899,1.0889,1.0928,1.09668,1.08907,-1,1,1.08934,06/04/2023 9:30,06/04/2023 13:00,-1,FractalSweep,EURUSD
07/04/2023 9:00,BUY,1.0915,1.0908,1.0937,1.09668,1.08907,-1,1,1.0913,07/04/2023 9:15,07/04/2023 12:30,-1,FractalSweep,EURUSD
07/04/2023 10:00,BUY,1.0914,1.0907,1.0937,1.09668,1.08907,-1,1,1.09112,07/04/2023 10:15,07/04/2023 12:30,-1,FractalSweep,EURUSD
11/04/2023 14:00,SELL,1.0921,1.0931,1.0893,1.09668,1.08324,-1,1,1.09266,11/04/2023 14:15,12/04/2023 5:30,-1,M15Sweep,EURUSD
12/04/2023 10:00,SELL,1.0927,1.0939,1.089,1.09668,1.08324,-1,1,1.09299,12/04/2023 10:15,12/04/2023 12:30,-1,FractalSweep,EURUSD
21/04/2023 9:30,BUY,1.0959,1.0948,1.0992,1.10758,1.0919,1,1,1.09523,21/04/2023 10:00,21/04/2023 13:00,3,FractalSweep,EURUSD
25/04/2023 15:00,BUY,1.0987,1.0971,1.1035,1.10758,1.0919,1,1,1.0975,25/04/2023 15:15,25/04/2023 15:30,-1,Continued,EURUSD
27/04/2023 8:30,SELL,1.105,1.1062,1.1013,1.10858,1.09988,-1,1,1.10585,27/04/2023 8:45,27/04/2023 12:30,3,FractalSweep,EURUSD
01/05/2023 8:30,BUY,1.0996,1.0988,1.1022,1.10443,1.09826,1,1,1.0992,01/05/2023 8:45,01/05/2023 12:30,3,Continued,EURUSD
01/05/2023 9:00,BUY,1.0995,1.0985,1.1027,1.10443,1.09826,1,1,1.09907,01/05/2023 9:15,01/05/2023 12:30,3,M15Sweep,EURUSD
05/05/2023 9:00,BUY,1.1028,1.1019,1.1055,1.10916,1.09971,2,1,1.1024,05/05/2023 9:15,05/05/2023 11:30,-1,Continued,EURUSD
22/05/2023 14:15,BUY,1.0814,1.0797,1.0864,1.08973,1.07606,-2,1,1.08085,22/05/2023 14:30,22/05/2023 15:15,-1,Potential,EURUSD
23/06/2023 14:45,BUY,1.0885,1.0876,1.0912,1.09333,1.08606,-1,1,1.08807,23/06/2023 15:00,26/06/2023 11:30,3,FractalSweep,EURUSD
31/07/2023 14:00,SELL,1.1037,1.1049,1.1001,1.11178,1.09704,-2,1,1.1045,31/07/2023 14:30,31/07/2023 18:00,3,Continued,EURUSD
09/08/2023 13:30,SELL,1.0979,1.0991,1.0943,1.10101,1.0929,-2,1,1.09873,09/08/2023 13:45,09/08/2023 14:00,-1,M15Sweep,EURUSD
15/08/2023 8:45,SELL,1.0928,1.0937,1.0899,1.0953,1.08802,-1,1,1.09285,15/08/2023 9:00,15/08/2023 9:30,-1,Potential,EURUSD
15/08/2023 9:45,SELL,1.0936,1.0948,1.09,1.0953,1.08802,-1,1,1.09413,15/08/2023 10:15,15/08/2023 12:30,3,M15Sweep,EURUSD
29/08/2023 9:00,BUY,1.0813,1.0802,1.0846,1.08575,1.07837,-2,1,1.08082,29/08/2023 9:45,29/08/2023 12:00,-1,FractalSweep,EURUSD
28/08/2023 13:30,BUY,1.0807,1.0796,1.084,1.08575,1.07837,-2,1,1.0801,28/08/2023 13:45,29/08/2023 12:15,-1,Continued,EURUSD
04/09/2023 14:45,BUY,1.079,1.078,1.0818,1.08826,1.07736,1,1,1.07851,04/09/2023 15:15,05/09/2023 6:15,-1,M15Sweep,EURUSD
07/09/2023 8:15,BUY,1.0712,1.0705,1.0732,1.07441,1.07025,-1,1,1.07081,07/09/2023 8:30,07/09/2023 10:30,-1,FractalSweep,EURUSD
15/09/2023 9:15,BUY,1.0666,1.0658,1.0691,1.07408,1.06333,-1,1,1.06616,15/09/2023 9:30,15/09/2023 10:45,-1,FractalSweep,EURUSD
