Datetime,H4_high,H4_low,Last_Fractal_High,Last_Fractal_Low,Directional_bias,Bar_High,Bar_Low,result
2022-08-18 06:00:00,1.01984,1.016,1.01984,1.02595,1,1.0167,1.016,-1
2022-08-18 10:00:00,1.01984,1.016,1.01815,1.02595,1,1.01815,1.01654,-1
2022-08-18 14:00:00,1.01815,1.01116,1.01815,1.02595,1,1.01282,1.01116,-1
2022-08-18 14:00:00,1.01815,1.01116,1.01815,1.01116,1,1.01282,1.01116,-1
2022-08-18 18:00:00,1.01815,1.00806,1.01815,1.01116,-2,1.00835,1.00806,-1
2022-08-18 22:00:00,1.01815,1.00806,1.01815,1.00861,-2,1.009,1.00861,-1
2022-08-19 02:00:00,1.01815,1.00739,1.01815,1.00861,-2,1.00836,1.00739,-1
2022-08-19 10:00:00,1.01815,1.00546,1.01815,1.00861,-2,1.00729,1.00546,-1
2022-08-19 10:00:00,1.01815,1.00546,1.01815,1.00546,-2,1.00729,1.00546,-1
2022-08-19 14:00:00,1.01815,1.00423,1.01815,1.00546,-2,1.00546,1.00423,-1
2022-08-19 18:00:00,1.01815,1.00351,1.01815,1.00546,-2,1.00429,1.00351,-1
2022-08-21 22:00:00,1.01815,1.00309,1.01815,1.00546,-1,1.00396,1.00309,-1
2022-08-21 22:00:00,1.01815,1.00309,1.01815,1.00309,-1,1.00396,1.00309,-1
2022-08-22 02:00:00,1.00308,1.0025,1.01815,1.00309,-2,1.00308,1.0025,1
2022-08-22 02:00:00,1.00308,1.0025,1.01815,1.0025,-2,1.00308,1.0025,1
2022-08-22 06:00:00,1.0033,1.0025,1.01815,1.0025,-1,1.0033,1.00266,-1
2022-08-22 10:00:00,1.01815,1.00051,1.01815,1.0025,-2,1.00181,1.00051,-1
2022-08-22 10:00:00,1.01815,1.00051,1.00181,1.0025,-2,1.00181,1.00051,-1
2022-08-22 14:00:00,1.00181,0.99671,1.00181,1.0025,-2,0.99756,0.99671,-1
2022-08-22 18:00:00,1.00181,0.99267,1.00181,1.0025,-1,0.9933,0.99267,-1
2022-08-22 18:00:00,1.00181,0.99267,1.00181,0.99267,-1,0.9933,0.99267,-1
2022-08-22 22:00:00,1.00181,0.99267,1.00181,0.994,-1,0.99434,0.994,-1
2022-08-23 02:00:00,1.00181,0.99267,1.00181,0.99354,-1,0.99422,0.99354,-1
2022-08-23 06:00:00,1.00181,0.99154,1.00181,0.99354,1,0.99226,0.99154,-1
2022-08-23 10:00:00,1.00181,0.99154,0.99326,0.99354,1,0.99326,0.99191,-1
2022-08-23 14:00:00,1.00181,0.99154,1.00181,0.99354,1,1.00181,0.99957,-1
2022-08-23 22:00:00,1.00181,0.99154,0.99717,0.99354,1,0.99717,0.99676,-1
2022-08-24 02:00:00,1.00181,0.99154,0.99548,0.99354,1,0.99548,0.99487,-1
2022-08-24 06:00:00,1.00181,0.99154,0.99548,0.99347,1,0.9943,0.99347,-1
2022-08-24 14:00:00,0.99225,0.99099,0.99548,0.99347,1,0.99225,0.99099,1
2022-08-24 14:00:00,0.99225,0.99099,0.99548,0.99099,1,0.99225,0.99099,1
2022-08-24 18:00:00,0.9965,0.99099,0.99548,0.99099,2,0.9965,0.9959,1
2022-08-24 22:00:00,0.99709,0.99099,0.99548,0.99099,2,0.99709,0.99671,1
2022-08-24 22:00:00,0.99709,0.99099,0.99709,0.99099,2,0.99709,0.99671,1
2022-08-25 02:00:00,0.99853,0.99099,0.99709,0.99099,2,0.99853,0.99818,1
2022-08-25 06:00:00,1.00004,0.99099,0.99709,0.99099,2,1.00004,0.99913,1
2022-08-25 18:00:00,1.00004,0.99099,0.99709,0.99615,2,0.99712,0.99615,1
2022-08-26 10:00:00,1.00049,0.99615,0.99709,0.99615,-1,1.00049,0.99984,1
2022-08-26 14:00:00,1.00898,0.99615,0.99709,0.99615,-1,1.00898,1.00164,-1
2022-08-26 14:00:00,1.00898,0.99615,1.00898,0.99615,-1,1.00898,1.00164,-1
2022-08-28 22:00:00,1.00898,0.99517,1.00898,0.99615,-2,0.99591,0.99517,-1
2022-08-29 02:00:00,1.00898,0.99241,1.00898,0.99615,-2,0.99304,0.99241,-1
2022-08-29 06:00:00,1.00898,0.99208,1.00898,0.99615,1,0.99354,0.99208,-1
2022-08-30 10:00:00,1.00898,0.99208,1.00898,1.0028,1,1.00428,1.0028,-1
2022-08-30 22:00:00,1.00898,0.99208,1.00898,1.00148,1,1.00179,1.00148,-1
2022-08-31 02:00:00,1.00898,0.99208,1.00898,1.00164,1,1.00202,1.00164,-1
2022-08-31 22:00:00,1.00898,0.99208,1.00542,1.00164,1,1.00542,1.00498,-1
2022-09-01 06:00:00,1.00898,0.99208,1.00223,1.00164,1,1.00223,1.00116,-1
2022-09-01 22:00:00,1.00898,0.99208,0.99487,1.00164,1,0.99487,0.99435,-1
2022-09-02 02:00:00,1.00898,0.99208,0.99487,0.99534,1,0.9957,0.99534,-1
