Datetime,M15_high,M15_low,Last_Fractal_High,Last_Fractal_Low
2023-09-15 08:15:00,1.24333,1.24157,1.24333,1.24157
2023-09-15 08:30:00,1.24333,1.24157,1.24333,1.24157
2023-09-15 08:45:00,1.2436,1.24157,1.24333,1.24157
2023-09-15 09:00:00,1.24401,1.24157,1.24333,1.24157
2023-09-15 09:15:00,1.24401,1.24157,1.24333,1.24157
2023-09-15 09:30:00,1.24414,1.24328,1.24333,1.24328
2023-09-15 09:45:00,1.24455,1.24328,1.24455,1.24328
2023-09-15 10:00:00,1.24455,1.24328,1.24455,1.24328
2023-09-15 10:15:00,1.24455,1.24328,1.24455,1.24328
2023-09-15 10:30:00,1.24455,1.24328,1.244,1.24328
2023-09-15 10:45:00,1.244,1.24305,1.244,1.24328
2023-09-15 11:00:00,1.244,1.2427,1.244,1.24328
2023-09-15 11:15:00,1.244,1.2423,1.244,1.24328
2023-09-15 11:30:00,1.244,1.24176,1.244,1.24328
2023-09-15 11:45:00,1.244,1.24117,1.244,1.24328
2023-09-15 12:00:00,1.244,1.24077,1.244,1.24328
2023-09-15 12:15:00,1.244,1.24076,1.244,1.24328
2023-09-15 12:30:00,1.244,1.23984,1.244,1.23984
2023-09-15 12:45:00,1.244,1.23984,1.244,1.23984
2023-09-15 13:00:00,1.244,1.23984,1.244,1.23984
2023-09-15 13:15:00,1.244,1.23984,1.24141,1.23984
2023-09-15 13:30:00,1.24141,1.23908,1.24141,1.23984
2023-09-15 13:45:00,1.24141,1.239,1.24141,1.23984
2023-09-15 14:00:00,1.24119,1.23886,1.24119,1.23886
2023-09-15 14:15:00,1.24119,1.23886,1.24119,1.23886
2023-09-15 14:30:00,1.24119,1.23886,1.24119,1.23886
2023-09-15 14:45:00,1.24119,1.23886,1.24119,1.23933
2023-09-15 15:00:00,1.2425,1.23933,1.2425,1.23933
2023-09-15 15:15:00,1.2425,1.23933,1.2425,1.23933
2023-09-15 15:30:00,1.2425,1.23933,1.2425,1.23933
2023-09-15 15:45:00,1.2425,1.23894,1.2425,1.23933
2023-09-15 16:00:00,1.2425,1.23847,1.2425,1.23847
2023-09-15 16:15:00,1.2425,1.23847,1.2425,1.23847
2023-09-15 16:30:00,1.2425,1.23847,1.24034,1.23847
2023-09-15 16:45:00,1.2425,1.23847,1.24034,1.23866
2023-09-15 17:00:00,1.2425,1.23847,1.24034,1.23866
2023-09-15 17:15:00,1.2425,1.23847,1.24034,1.23866
2023-09-15 17:30:00,1.2425,1.23847,1.24034,1.23866
2023-09-15 17:45:00,1.2425,1.23847,1.24007,1.23866
2023-09-15 18:00:00,1.2425,1.23847,1.24007,1.23866
2023-09-15 18:15:00,1.2425,1.23847,1.24007,1.239
2023-09-15 18:30:00,1.2425,1.23847,1.24007,1.239
2023-09-15 18:45:00,1.2425,1.23847,1.24007,1.239
2023-09-15 19:00:00,1.2425,1.23847,1.24007,1.239
2023-09-15 19:15:00,1.24007,1.23821,1.24007,1.239
2023-09-15 19:30:00,1.24007,1.23821,1.24007,1.239
2023-09-15 19:45:00,1.24007,1.23815,1.24007,1.239
2023-09-15 20:00:00,1.24007,1.23796,1.24007,1.239
2023-09-15 20:15:00,1.24007,1.23784,1.24007,1.23784
2023-09-15 20:30:00,1.24007,1.23784,1.23859,1.23784
2023-09-15 20:45:00,1.24007,1.23784,1.23859,1.23784
2023-09-15 21:00:00,1.24007,1.23784,1.23859,1.23784
2023-09-15 21:15:00,1.24007,1.23784,1.23859,1.23784
2023-09-15 21:30:00,1.24007,1.23784,1.23859,1.23784
2023-09-15 21:45:00,1.23859,1.23765,1.23859,1.23784
